# Ch1	Ch2		Ch3		Ch4
1.243	0.807	2.275	1.933
1.268	0.823	2.236	1.985
1.244	0.866	2.400	1.948
1.227	0.807	2.332	2.023
1.275	0.912	2.207	2.019
1.244	0.894	2.265	1.972
1.256	0.901	2.236	2.009
1.302	0.844	2.203	1.998
1.198	0.895	2.396	1.959
1.239	0.833	2.317	1.940
1.288	0.840	2.230	1.994
1.259	0.895	2.363	1.936
1.243	0.795	2.319	2.007
1.317	0.811	2.218	1.985
1.191	0.888	2.396	1.928
1.256	0.816	2.313	2.007
1.285	0.804	2.199	2.010
1.259	0.914	2.294	1.931
1.239	0.808	2.370	1.935
1.343	0.812	2.212	1.991
1.201	0.895	2.370	1.936
1.262	0.820	2.424	1.994
1.281	0.762	2.220	1.991
1.246	0.904	2.377	1.940
1.230	0.804	2.358	2.033
1.305	0.801	2.212	1.983
1.211	0.902	2.377	1.952
1.256	0.804	2.406	1.996
1.294	0.817	2.229	1.985
1.246	0.906	2.372	1.938
1.252	0.820	2.403	1.990
1.260	0.817	2.215	2.004
1.235	0.907	2.300	1.943
1.252	0.808	2.424	2.003
1.285	0.811	2.203	2.003
1.244	0.898	2.374	1.941
1.206	0.797	2.372	1.990
1.289	0.801	2.222	2.048
1.257	0.895	2.322	1.945
1.179	0.817	2.432	2.002
1.327	0.791	2.222	1.991
1.227	0.897	2.371	2.042
1.197	0.850	2.420	1.987
1.276	0.788	2.437	1.987
1.243	0.837	2.372	1.931
1.179	0.820	2.423	1.997
1.315	0.779	2.256	2.009
1.206	0.887	2.348	1.961
1.205	0.825	2.425	1.997
1.227	0.786	2.251	2.035
1.235	0.882	2.294	2.048
1.155	0.795	2.403	1.996
1.261	0.786	2.429	2.016
1.205	0.858	2.351	1.964
1.200	0.895	2.426	1.977
1.247	0.804	2.243	2.100
1.205	0.876	2.230	1.965
1.184	0.827	2.424	1.983
1.245	0.794	2.249	2.042
1.234	0.857	2.288	2.055
1.177	0.899	2.425	1.997
1.247	0.840	2.248	2.048
1.242	0.895	2.450	1.957
1.218	0.854	2.397	1.990
1.250	0.803	2.238	2.042
1.249	0.850	2.281	1.965
1.168	0.852	2.403	1.894
1.240	0.806	2.226	2.055
1.218	0.877	2.245	2.055
1.197	0.844	2.436	1.997
1.229	0.791	2.232	2.010
1.261	0.847	2.335	2.023
1.172	0.863	2.449	1.987
1.253	0.809	2.245	2.048
1.268	0.873	2.283	1.964
1.227	0.850	2.368	1.945
1.223	0.808	2.249	2.036
1.249	0.855	2.242	2.037
1.152	0.833	2.410	1.948
1.268	0.788	2.242	2.050
1.243	0.821	2.322	1.985
1.217	0.894	2.423	1.933
1.218	0.816	2.243	2.033
1.272	0.876	2.255	1.981
1.218	0.881	2.368	1.960
1.256	0.811	2.249	2.037
1.262	0.847	2.204	1.985
1.204	0.867	2.404	1.961
1.278	0.791	2.215	2.036
1.291	0.817	2.223	1.985
1.250	0.860	2.410	1.933
1.249	0.794	2.265	2.023
1.272	0.811	2.210	2.010
